symbol_id,date,open,high,low,close,volume
7,2018-12-21,14.8,14.83,13.82,14.04,965900
7,2018-12-24,13.7,14.29,13.43,14.14,800200
7,2018-12-27,14.26,14.44,13.79,14.22,573400
7,2018-12-28,14.34,14.71,13.98,14.6,599600
9,2018-11-02,15.35,16.17,14.82,15.75,5510900
9,2018-11-05,15.91,16.09,15.11,15.96,5709300
9,2018-11-06,15.94,17.04,15.57,16.7,10037700
9,2018-11-07,17.22,17.6,16.03,17.32,10157400
9,2018-11-08,17,17.19,16.5,16.54,4924700
9,2018-11-09,16.26,16.72,15.56,16.53,6946300
9,2018-11-12,16.29,16.52,14.83,14.96,6198200
9,2018-11-13,14.85,15.09,13.56,13.64,6672300
9,2018-11-14,13.34,13.58,12.26,12.65,7196700
9,2018-11-15,12.57,13.75,12.41,13.55,5696300
9,2018-11-16,13.37,13.49,12.56,12.69,3813100
9,2018-11-19,12.6,12.65,11.86,11.91,3857500
9,2018-11-20,11.4,12.34,11.09,11.69,7024900
9,2018-11-21,12,12.38,11.62,11.69,4196600
9,2018-11-22,0,0,0,0,0
9,2018-11-23,11.47,11.94,11.32,11.78,2257500
9,2018-11-26,12.2,12.21,10.64,10.75,3951600
9,2018-11-27,10.75,10.96,10.15,10.29,3704300
9,2018-11-28,10.49,11.35,10.39,11.35,5702400
9,2018-11-29,11.2,11.3,10.48,10.54,4640100
9,2018-11-30,10.6,10.78,10.3,10.51,3084200
9,2018-12-03,8.74,9.12,7.38,7.6,32779800
9,2018-12-04,6.4,6.84,5.83,5.99,27312900
9,2018-12-05,5.32,6.49,4.76,5,30308800
9,2018-12-06,5.15,7.55,5.02,7.55,42836100
9,2018-12-07,8.36,8.75,6.6,6.93,33528600
9,2018-12-10,7.37,7.85,7.04,7.53,14880800
9,2018-12-11,7.77,8.4,7.56,8.2,14860700
9,2018-12-12,8.14,8.39,7.71,7.78,12266600
9,2018-12-13,7.63,7.71,6.88,7.04,9958500
9,2018-12-14,6.86,7.75,6.5,7.47,13440600
9,2018-12-17,7.31,7.7,7.11,7.32,6503500
9,2018-12-18,7.55,8.24,7.46,7.89,16782800
9,2018-12-19,7.9,8,7.24,7.26,7406100
9,2018-12-20,7.35,7.55,6.86,7.04,7593300
9,2018-12-21,7.15,7.19,6.4,6.52,6673600
9,2018-12-24,6.19,7.7,6.16,7.56,11144400
9,2018-12-27,7.66,7.85,7.25,7.57,6982000
9,2018-12-28,8.68,8.69,8.04,8.52,19061500
